Key,English [en],Vietnamese [vi]
"Narrative/BattleIntro/1","*Demonic qi* coils through the bamboo grove - a beast bars the cultivator's path!","*Yêu khí* cuộn lên giữa rừng trúc - một bóng yêu thú chặn đường tu sĩ!"
"Narrative/BattleIntro/2","A wild *{e}* blocks the mountain trail, snarling; you have no choice but to strike first.","Một con *{e}* hoang dã chặn lối sơn đạo, gầm gừ; bạn buộc phải ra tay trước."
"Narrative/BattleIntro/3","Your spirit sense stirs - *{e}* bursts from the lingzhi bed, fangs first!","Thần thức rung động - *{e}* vọt lên từ luống linh chi, nanh nhọn chực chờ!"
"Narrative/BattleIntro/4","The spirit spring bubbles... a hungry *{e}* surfaces and charges!","Linh tuyền sủi bọt... một con *{e}* đói khát trồi lên và lao tới!"
"Narrative/BattleIntro/5","Wind howls off the cliffs: *{e}* has caught the scent of your qi. Prepare!","Gió rít qua vách đá: *{e}* đã đánh hơi thấy linh khí của bạn. Chuẩn bị!"
"Narrative/EliteIntro/1","An *awakened {e}* looms ahead, wreathed in roiling demonic qi!","Một con *{e} thành tinh* sừng sững phía trước, yêu khí cuồn cuộn quanh thân!"
"Narrative/EliteIntro/2","This *{e}* has devoured a century of spirit qi - larger, meaner, hungrier.","Con *{e}* này đã nuốt trọn trăm năm linh khí - to hơn, dữ hơn, đói hơn."
"Narrative/BossIntro/1","The ground trembles. *{e}*, lord of this realm, descends!","Mặt đất rung chuyển. *{e}*, chúa tể cõi này, giáng lâm!"
"Narrative/BossIntro/2","All falls silent. *{e}* has found you.","Vạn vật im bặt. *{e}* đã tìm ra bạn."
"Narrative/Win/1","The *{e}* scatters into drifting motes of light. You absorb <b>+{xp} qi</b>.","*{e}* tan thành muôn đốm sáng phiêu tán. Bạn hấp thụ <b>+{xp} tu vi</b>."
"Narrative/Win/2","*{e}* flees into the deep woods, defeated. <b>+{xp} qi</b> gathered.","*{e}* bại trận, lủi vào rừng sâu. Thu được <b>+{xp} tu vi</b>."
"Narrative/Win/3","The beast is subdued. Its scattered essence grants <b>+{xp} qi</b>.","Yêu thú bị trấn áp. Tinh hoa tản mát mang lại <b>+{xp} tu vi</b>."
"Narrative/Fortune/1","A wisp of *auspicious qi* coils around your sword hilt.","Một làn *linh khí cát tường* quấn quanh chuôi kiếm của bạn."
"Narrative/Fortune/2","You sip morning dew from a bamboo leaf. Refreshing!","Bạn nhấp giọt sương mai đọng trên lá trúc. Sảng khoái!"
"Narrative/Fortune/3","A sliver of *spirit stone* melts into your dantian.","Một mảnh *linh thạch* nhỏ hòa tan vào đan điền."
"Narrative/Choice/1","A derelict *cave abode* creaks open - a predecessor's legacy lies within...","Một *động phủ* bỏ hoang hé mở - di sản tiền nhân còn vương bên trong..."
"Narrative/Choice/2","In meditation, three *manuals* surface in your mind. Choose your path:","Trong thiền định, ba bộ *công pháp* hiện lên tâm trí. Chọn hướng đột phá:"
"Narrative/Choice/3","A mysterious elder lays out three secret manuals. *Pick one:*","Một lão nhân bí ẩn bày ra ba cuốn bí tịch. *Chọn một:*"
"Narrative/Spring/1","You find a *spirit spring* and soak in it, circulating your qi. <b>+{heal} HP</b>.","Bạn tìm thấy một *linh tuyền*, ngâm mình vận công điều tức. <b>+{heal} HP</b>."
"Narrative/Spring/2","Dense spirit qi knits your wounds closed. <b>+{heal} HP</b>.","Linh khí đậm đặc vá lành thương thế của bạn. <b>+{heal} HP</b>."
"Narrative/Sidekick/1","A glowing *{s}* drifts out of the thicket and takes you as its master!","Một *{s}* phát sáng bay ra từ lùm cây, nhận bạn làm chủ nhân!"
"Narrative/Sidekick/2","*{s}*, a spirit artifact, joins your journey!","*{s}*, pháp bảo hữu linh, gia nhập hành trình của bạn!"
"Narrative/SidekickFull/1","It chimes softly and leaves you a *healing pill* instead. <b>+{heal} HP</b>.","Nó khẽ ngân một tiếng rồi để lại một *viên đan* thay lời chào. <b>+{heal} HP</b>."
"Narrative/SidekickJoin"," <b>{s}</b> {d}."," <b>{s}</b> {d}."
"Narrative/SidekickPodFull"," But you can attune to only three artifacts - make room, or send it off with a pill?"," Nhưng bạn chỉ luyện hóa được ba pháp bảo - nhường chỗ, hay tiễn nó đi kèm một viên đan?"
"Narrative/SidekickSwap","*{r}* rings once more and fades into the qi. <b>{s}</b> {d}.","*{r}* ngân lên lần cuối rồi tan vào linh khí. <b>{s}</b> {d}."
